timestamp,BID_high,BID_open,BID_low,BID_close,BID_volume,CTG_volume,CTG_open,CTG_close,CTG_low,CTG_high,VCB_volume,VCB_high,VCB_low,VCB_close,VCB_open,EIB_high,EIB_close,EIB_low,EIB_open,EIB_volume,HDB_volume,HDB_open,HDB_close,HDB_low,HDB_high,MBB_high,MBB_low,MBB_open,MBB_close,MBB_volume,ACB_low,ACB_volume,ACB_open,ACB_high,ACB_close,TCB_close,TCB_low,TCB_volume,TCB_open,TCB_high
2020-02-19,30379.861328125,30321.55078125,29855.06640625,29913.376953125,638389.0,9814975.0,18582.1796875,18720.853515625,18582.1796875,18859.525390625,480733.0,59391.25,59059.453125,59391.25,59059.453125,11484.2392578125,11418.2373046875,11385.236328125,11418.2373046875,38089.0,6470415.0,8052.697265625,8010.5361328125,7898.10791015625,8052.697265625,8848.0576171875,8726.2958984375,8827.7646484375,8766.8828125,11478526.0,9641.4130859375,13678696.0,9864.7666015625,9939.2177734375,9790.3154296875,11825.0,11725.0,4401380.0,11800.0,11850.0
2020-02-20,30321.55078125,30263.240234375,29855.06640625,29913.376953125,948041.0,12996214.0,18963.53125,18651.517578125,18478.17578125,19206.208984375,972588.0,59988.48046875,59192.171875,59391.25,59523.96875,11517.2392578125,11352.236328125,11352.236328125,11517.2392578125,399733.0,4070846.0,8024.58984375,7982.42919921875,7954.322265625,8052.697265625,8888.6455078125,8766.8828125,8848.0576171875,8787.1767578125,15040293.0,9715.8642578125,15523528.0,9790.3154296875,10050.89453125,9827.541015625,11750.0,11650.0,5901900.0,11850.0,11950.0
2020-02-21,29913.376953125,29913.376953125,28426.455078125,28863.78515625,4491492.0,17414451.0,18582.1796875,17923.484375,17784.810546875,18651.517578125,1532347.0,59391.25,59059.453125,59059.453125,59391.25,11418.2373046875,11418.2373046875,11154.232421875,11418.2373046875,1356138.0,4246460.0,7968.37548828125,7982.42919921875,7926.21484375,8066.75048828125,8807.470703125,8584.2392578125,8807.470703125,8604.533203125,23246258.0,9269.158203125,17015475.0,9269.158203125,9901.9921875,9566.9619140625,11550.0,11550.0,6091760.0,11700.0,11850.0
2020-02-24,28455.609375,28105.74609375,26997.841796875,26997.841796875,1854220.0,18341249.0,17403.458984375,16918.103515625,16883.435546875,17611.46875,1583674.0,58395.8671875,57068.6875,57864.9921875,57068.6875,11418.2373046875,11352.236328125,10890.2265625,11418.2373046875,122103.0,8277714.0,7870.00048828125,7659.19677734375,7659.19677734375,7884.05419921875,8442.18359375,8158.07177734375,8401.5966796875,8158.07177734375,29906425.0,8859.6767578125,27811930.0,9492.51171875,9529.736328125,8934.1279296875,10750.0,10750.0,16367140.0,11375.0,11375.0
2020-02-25,28455.609375,26239.8046875,26239.8046875,28455.609375,1506773.0,14082194.0,16918.103515625,18096.82421875,16883.435546875,18096.82421875,1852847.0,57732.27734375,56935.96875,57201.40625,57068.6875,11451.23828125,11352.236328125,10890.2265625,10890.2265625,9163384.0,14158353.0,7588.92919921875,7870.00048828125,7574.87548828125,7884.05419921875,8442.18359375,8056.60302734375,8117.484375,8442.18359375,29384491.0,8599.0986328125,30838669.0,8748.0009765625,9343.609375,9343.609375,11100.0,10400.0,6473800.0,10500.0,11125.0
2020-02-26,28164.056640625,27755.880859375,27318.55078125,27406.017578125,1074158.0,9339569.0,17715.474609375,17888.814453125,17611.46875,18166.162109375,1852425.0,57068.6875,55741.5078125,56405.09765625,57068.6875,11418.2373046875,11385.236328125,11220.2333984375,11352.236328125,690091.0,5266522.0,7785.67919921875,7785.67919921875,7687.30419921875,7940.2685546875,8482.771484375,8259.5400390625,8259.5400390625,8320.421875,12771512.0,9045.8046875,24336314.0,9306.3837890625,9343.609375,9157.4814453125,11175.0,10800.0,4487000.0,10875.0,11250.0
2020-02-27,27814.19140625,27406.017578125,27085.30859375,27464.328125,1239360.0,8786973.0,17854.146484375,18166.162109375,17750.142578125,18166.162109375,3034978.0,56139.66015625,55011.55859375,55741.5078125,55741.5078125,11418.2373046875,11418.2373046875,11220.2333984375,11220.2333984375,365279.0,5488495.0,7799.73291015625,7870.00048828125,7771.62548828125,7898.10791015625,8482.771484375,8300.1279296875,8340.71484375,8482.771484375,9968894.0,9008.5791015625,14263836.0,9008.5791015625,9492.51171875,9492.51171875,11375.0,11100.0,6526060.0,11175.0,11375.0
2020-02-28,27056.15234375,26822.91015625,26268.958984375,26531.357421875,1667480.0,11531285.0,17680.806640625,17854.146484375,17334.123046875,18062.15625,3330493.0,55343.35546875,53153.5078125,54679.765625,53153.5078125,11418.2373046875,11352.236328125,11154.232421875,11253.234375,35842420.0,4322882.0,7743.5185546875,7813.7861328125,7645.1435546875,7813.7861328125,8421.8896484375,8259.5400390625,8320.421875,8279.833984375,17615474.0,8561.873046875,16813032.0,8561.873046875,9418.060546875,9380.8349609375,11125.0,10925.0,4866300.0,11000.0,11200.0
2020-03-02,26764.599609375,26764.599609375,26239.8046875,26327.26953125,974589.0,7058288.0,17992.8203125,17680.806640625,17611.46875,18062.15625,1415965.0,54547.046875,53949.81640625,54281.61328125,54082.53515625,11748.244140625,11682.2431640625,11187.232421875,11187.232421875,2067002.0,10122121.0,7785.67919921875,7785.67919921875,7701.35791015625,7870.00048828125,8442.18359375,8300.1279296875,8320.421875,8401.5966796875,12309496.0,9083.0302734375,10287398.0,9083.0302734375,9492.51171875,9380.8349609375,11250.0,11050.0,5134700.0,11200.0,11325.0
2020-03-03,27843.34765625,27289.396484375,26647.978515625,27347.70703125,1743933.0,13819720.0,18166.162109375,18339.501953125,17992.8203125,18686.185546875,1407903.0,55409.71484375,54547.046875,54547.046875,55409.71484375,11715.244140625,11550.240234375,11385.236328125,11385.236328125,182737.0,9035102.0,7870.00048828125,7785.67919921875,7757.572265625,7954.322265625,8584.2392578125,8442.18359375,8543.65234375,8482.771484375,16132149.0,9418.060546875,17097680.0,9529.736328125,9641.4130859375,9529.736328125,11250.0,11250.0,5210040.0,11425.0,11500.0
