Date,DXG,TCH,HDG,HDC,KDH,IDC,KBC,DPG,VHM,NLG
05/19/2023,"14,100","8,400","34,200","34,450","29,450","38,800","27,000","30,800","54,100","32,000"
05/18/2023,"13,800","8,500","33,900","33,800","29,300","38,500","26,450","30,600","55,000","31,800"
05/17/2023,"13,950","8,660","34,000","34,050","28,500","38,500","26,350","30,150","53,400","31,650"
05/16/2023,"14,500","8,110","34,150","35,000","29,450","38,900","27,200","31,600","52,200","33,150"
05/15/2023,"14,150","8,100","33,750","35,500","29,800","39,100","27,400","31,400","51,700","32,800"
05/12/2023,"14,650","8,240","35,000","34,850","30,300","39,900","28,000","32,750","51,200","33,850"
05/11/2023,"14,500","8,220","34,600","35,150","29,950","39,600","27,600","32,500","49,150","33,350"
05/10/2023,"14,300","8,260","34,500","35,050","29,800","40,000","27,800","32,700","49,350","33,850"
05/09/2023,"13,400","8,040","33,600","34,600","29,500","39,800","27,500","32,050","49,300","33,000"
05/08/2023,"13,350","8,150","33,300","34,900","29,950","38,700","26,100","31,600","49,400","33,800"
05/05/2023,"13,200","7,830","33,250","34,000","30,200","38,600","25,900","31,450","49,000","34,100"
05/04/2023,"13,300","7,950","33,850","34,250","30,450","39,100","26,200","32,350","49,500","33,950"
04/28/2023,"13,500","7,840","33,700","34,950","29,800","38,600","25,800","31,950","49,500","33,400"
04/27/2023,"13,200","7,620","32,900","34,450","28,750","38,100","24,900","31,450","47,500","31,300"
04/26/2023,"12,600","7,420","32,950","34,200","28,300","37,700","24,600","31,700","48,000","31,100"
04/25/2023,"12,550","7,390","32,000","33,200","28,350","37,900","24,600","29,650","50,200","31,100"
04/24/2023,"12,750","7,410","31,800","32,700","28,250","38,200","24,300","29,300","50,500","31,500"
04/21/2023,"12,650","7,360","30,850","32,700","28,400","38,400","24,500","29,200","50,300","30,500"
04/20/2023,"12,600","7,370","31,350","33,000","28,450","38,500","24,300","29,250","50,700","30,100"
04/19/2023,"12,700","7,320","31,300","32,550","28,450","38,300","24,300","29,200","50,400","29,650"
04/18/2023,"13,050","7,400","32,000","33,550","29,000","38,800","25,300","30,050","50,800","30,350"
04/17/2023,"12,700","7,370","32,500","32,900","29,200","38,400","25,150","29,450","50,300","30,350"
04/14/2023,"12,750","7,360","32,200","32,450","28,600","38,000","24,650","28,600","50,000","29,600"
04/13/2023,"13,700","7,650","33,150","34,850","29,750","38,800","26,500","30,350","50,500","31,800"
04/12/2023,"13,650","7,720","33,650","34,750","29,850","39,300","26,200","31,000","51,600","32,000"
04/11/2023,"13,700","7,750","32,100","32,500","28,500","39,100","26,000","29,200","51,500","29,950"
04/10/2023,"13,350","7,760","31,200","32,000","28,350","41,000","26,400","28,450","49,800","29,700"
04/07/2023,"13,600","7,940","31,300","32,700","28,050","40,600","25,050","29,000","50,700","29,300"
04/06/2023,"13,100","7,850","31,550","32,400","28,500","40,600","25,100","29,150","51,200","29,200"
04/05/2023,"13,700","7,710","32,250","33,500","29,000","41,900","26,200","30,000","52,200","29,600"
04/04/2023,"13,400","7,650","31,300","33,450","29,150","41,400","25,300","29,350","51,000","28,850"
04/03/2023,"13,400","7,610","31,250","33,100","29,300","41,700","25,150","29,500","52,600","28,650"
03/31/2023,"12,550","7,370","30,450","32,050","27,600","41,000","24,250","28,300","51,500","26,800"
03/30/2023,"12,450","7,400","30,100","31,000","27,000","39,900","22,700","27,750","49,550","25,050"
03/29/2023,"12,400","7,390","30,200","31,050","27,050","39,600","22,700","27,500","48,000","25,250"
03/28/2023,"12,350","7,390","30,400","31,000","26,750","39,300","22,700","27,650","48,000","25,450"
03/27/2023,"12,150","7,300","29,900","31,250","26,700","39,400","23,050","27,850","48,400","25,500"
03/24/2023,"11,850","7,340","29,600","31,100","26,600","39,100","22,600","27,300","49,000","24,900"
03/23/2023,"11,750","7,290","29,050","31,100","26,150","38,300","22,200","26,800","48,000","23,300"
03/22/2023,"11,500","7,200","29,150","30,850","26,100","38,300","22,200","26,900","47,650","23,100"
03/21/2023,"11,550","7,160","29,300","30,300","26,200","38,200","22,200","26,700","45,400","23,100"
03/20/2023,"11,100","7,080","29,100","29,900","25,750","38,000","21,900","26,300","42,550","22,800"
03/17/2023,"11,700","7,030","29,900","30,300","26,750","38,700","22,200","27,150","43,350","23,850"
03/16/2023,"11,450","7,050","29,600","30,350","26,250","38,400","22,200","27,400","44,500","24,250"
03/15/2023,"11,350","7,190","29,550","31,150","26,550","39,200","22,500","28,200","46,000","24,950"
03/14/2023,"10,650","6,930","28,600","29,850","25,800","38,100","21,350","26,600","44,750","23,900"
03/13/2023,"11,200","7,050","29,600","31,100","26,500","39,100","22,200","27,850","44,750","24,400"
03/10/2023,"11,250","7,090","30,450","31,200","26,500","39,800","22,500","28,800","42,850","25,300"
03/09/2023,"11,200","7,240","30,800","31,800","26,000","40,700","22,800","29,150","42,400","25,700"
03/08/2023,"11,200","7,200","30,500","30,550","25,900","39,500","22,850","28,750","42,350","25,700"
03/07/2023,"10,500","7,120","30,000","30,550","25,800","39,000","21,800","28,100","42,300","25,600"
03/06/2023,"10,800","7,180","30,000","29,850","25,900","38,600","21,550","28,350","42,100","25,600"
03/03/2023,"10,100","7,040","29,850","29,600","24,350","38,500","21,500","27,650","40,950","25,000"
03/02/2023,"10,150","7,140","30,000","30,300","24,900","38,900","22,350","28,600","41,100","25,250"
03/01/2023,"10,300","7,170","30,000","30,350","24,650","39,800","22,300","28,900","41,200","25,200"
02/28/2023,"10,000","6,990","29,400","30,100","25,450","38,400","21,250","28,000","41,500","25,700"
02/27/2023,"9,810","7,000","28,000","29,850","25,450","38,300","21,100","27,550","40,900","26,200"
02/24/2023,"10,350","7,320","29,050","30,050","26,000","39,700","22,350","29,300","41,000","26,050"
02/23/2023,"10,900","7,500","29,700","30,500","26,650","40,100","22,950","30,450","42,000","27,000"
02/22/2023,"11,000","7,700","29,500","29,500","26,800","39,500","23,200","30,100","42,600","27,100"
02/21/2023,"11,800","7,900","31,300","30,900","28,100","42,100","24,000","31,800","45,200","29,000"
02/20/2023,"11,900","7,760","31,850","31,500","28,300","42,500","24,450","31,500","45,200","29,500"
02/17/2023,"11,150","7,260","30,650","29,950","27,800","40,800","24,000","29,850","43,300","28,600"
02/16/2023,"11,150","7,200","30,500","30,200","27,800","41,800","23,950","30,200","42,500","28,600"
02/15/2023,"10,950","7,200","29,900","29,850","27,500","41,200","23,000","29,700","42,500","26,900"
02/14/2023,"10,250","7,000","29,200","29,100","26,600","38,600","22,450","28,600","42,750","26,100"
02/13/2023,"10,800","7,000","28,600","27,400","26,000","37,600","21,900","28,000","44,400","25,800"
02/10/2023,"11,600","7,280","30,100","29,150","27,500","38,300","22,250","30,100","45,400","26,750"
02/09/2023,"12,300","7,460","31,400","29,400","26,950","37,600","23,500","30,950","45,300","26,650"
02/08/2023,"12,500","7,420","32,000","30,150","27,000","37,400","23,400","31,000","46,600","27,000"
02/07/2023,"12,700","7,470","32,500","30,150","27,200","37,200","23,400","30,850","46,800","27,700"
02/06/2023,"13,500","7,690","32,800","31,200","27,350","39,500","24,300","31,750","47,950","27,700"
02/03/2023,"13,400","7,350","32,200","30,600","26,950","40,000","24,000","31,850","48,100","27,700"
02/02/2023,"13,450","7,300","32,000","30,700","26,600","39,900","23,000","31,350","47,900","27,800"
02/01/2023,"13,900","7,600","32,750","31,850","26,500","39,100","24,300","33,050","48,000","27,800"
01/31/2023,"14,900","7,780","34,200","34,200","28,000","40,400","25,900","35,500","50,900","29,200"
01/30/2023,"14,400","7,830","33,350","33,350","27,750","39,200","26,550","34,800","51,500","29,400"
01/27/2023,"14,100","7,570","33,800","31,200","27,650","40,300","26,950","35,350","53,300","28,500"
01/19/2023,"14,000","7,520","33,750","31,700","27,600","40,000","25,200","35,400","52,200","28,550"
01/18/2023,"14,150","7,540","33,200","31,650","27,800","39,500","25,450","33,450","52,500","27,750"
01/17/2023,"13,600","7,370","32,800","30,700","26,800","39,400","25,250","32,300","52,000","26,500"
01/16/2023,"12,850","7,000","31,400","29,800","26,350","37,700","24,800","30,200","51,300","25,600"
01/13/2023,"12,900","7,060","31,900","30,400","26,200","37,200","25,000","30,200","52,000","26,250"
01/12/2023,"13,050","7,040","31,600","31,000","26,800","37,600","25,400","30,200","51,500","26,700"
01/11/2023,"13,350","7,130","31,800","30,650","28,100","36,400","25,000","30,000","50,800","27,950"
01/10/2023,"12,550","7,060","31,350","30,800","27,900","35,200","24,950","29,950","49,750","27,700"
01/09/2023,"12,750","6,950","32,050","31,500","27,950","34,600","25,100","29,450","50,200","28,500"
01/06/2023,"13,200","6,960","32,700","31,800","27,800","34,500","24,950","29,500","49,900","30,150"
01/05/2023,"13,400","7,110","33,000","30,800","27,700","35,700","26,000","29,500","49,700","30,750"
01/04/2023,"13,500","7,100","32,000","30,900","27,850","35,800","26,000","29,650","49,000","31,000"
01/03/2023,"13,600","7,210","32,700","30,900","28,000","34,300","24,700","30,000","49,400","31,950"
12/30/2022,"12,750","6,790","31,400","28,900","26,500","31,700","24,200","28,500","48,000","31,000"
12/29/2022,"12,400","6,860","30,650","29,550","27,950","31,700","23,900","27,300","47,800","29,900"
12/28/2022,"12,850","6,900","31,000","30,200","27,050","32,600","22,850","26,800","47,700","30,050"
12/27/2022,"12,950","6,900","31,250","29,800","26,350","32,000","21,400","26,500","47,500","30,000"
12/26/2022,"12,300","6,480","29,900","28,400","24,650","31,200","20,000","25,150","47,000","28,950"
12/23/2022,"13,200","6,960","31,750","30,500","26,250","34,300","21,500","26,950","49,800","30,000"
12/22/2022,"13,650","7,000","31,400","29,900","26,850","34,300","21,400","27,300","49,000","30,500"
12/21/2022,"13,350","6,910","31,800","29,850","25,100","34,000","21,500","27,500","48,500","30,500"
12/20/2022,"13,400","7,000","32,000","32,000","25,800","34,500","21,900","26,550","48,200","30,700"
12/19/2022,"14,100","7,350","32,650","32,900","26,700","35,800","22,000","28,500","48,200","30,700"
12/16/2022,"15,100","7,900","34,700","35,350","27,500","37,500","23,000","29,500","49,300","30,500"
12/15/2022,"15,100","7,690","34,000","35,600","28,200","36,800","22,800","29,300","50,700","30,500"
12/14/2022,"14,150","7,800","32,300","34,100","28,000","36,800","22,800","29,500","53,000","30,500"
12/13/2022,"14,250","7,290","31,950","33,000","27,900","37,500","22,500","29,600","53,000","30,000"
12/12/2022,"13,350","7,070","31,150","31,500","27,950","36,300","22,100","29,000","50,500","28,550"
12/09/2022,"14,350","7,140","32,000","33,000","30,050","37,100","23,750","31,100","54,100","30,200"
12/08/2022,"14,000","7,170","31,500","33,400","30,300","35,500","23,250","30,000","55,400","30,000"
12/07/2022,"13,100","6,710","30,300","31,250","29,900","34,300","22,100","28,700","55,500","28,250"
12/06/2022,"14,050","7,210","31,600","33,600","29,550","33,800","22,100","29,000","55,000","29,250"
12/05/2022,"15,100","7,750","32,950","36,100","31,100","36,800","22,050","28,300","58,300","29,900"
12/02/2022,"14,600","8,000","33,000","38,300","29,100","37,400","21,600","28,600","57,200","29,350"
12/01/2022,"13,650","7,830","31,400","35,800","27,200","35,000","20,200","27,500","53,500","27,550"
11/30/2022,"12,800","9,100","31,600","37,000","27,400","36,000","21,150","29,100","54,500","28,500"
11/29/2022,"12,000","9,060","29,550","36,900","25,650","35,000","20,200","27,200","53,100","27,600"
11/28/2022,"11,250","9,220","29,500","34,500","24,000","34,500","18,900","26,850","50,200","26,750"
11/25/2022,"10,550","8,620","27,700","34,800","22,450","32,000","17,700","25,100","47,000","25,000"
11/24/2022,"9,900","8,100","25,900","32,600","21,000","29,600","16,750","23,500","45,000","23,500"
11/23/2022,"9,600","7,940","25,950","31,100","21,850","29,000","16,700","22,000","44,400","22,150"
11/22/2022,"10,200","7,960","26,700","32,500","22,450","30,800","16,850","22,800","45,300","23,100"
11/21/2022,"10,500","7,440","27,200","33,250","22,400","30,800","16,800","22,350","46,950","23,050"
11/18/2022,"10,400","6,960","27,000","33,000","22,100","30,000","16,400","20,900","48,000","21,550"
11/17/2022,"9,750","6,510","26,500","30,850","21,550","28,600","16,050","20,300","47,950","20,150"
11/16/2022,"9,120","6,090","24,850","30,400","20,250","28,800","16,000","19,750","44,900","18,850"
11/15/2022,"8,530","5,700","23,250","28,450","19,400","26,200","15,000","18,500","43,400","17,650"
11/14/2022,"9,170","6,120","25,000","30,550","20,300","29,100","14,950","19,850","44,000","18,950"
11/11/2022,"9,860","6,570","26,200","30,800","20,200","32,300","14,600","21,300","44,150","19,400"
11/10/2022,"10,600","7,060","25,600","30,500","19,000","35,800","13,950","22,900","43,950","18,800"
11/09/2022,"11,350","7,590","27,500","31,250","20,300","39,700","14,200","24,600","44,550","20,200"
11/08/2022,"11,000","7,250","28,000","29,250","20,300","39,200","15,250","23,900","43,800","20,000"
11/07/2022,"11,800","6,800","26,950","29,800","19,950","38,500","15,350","22,550","43,900","20,200"
11/04/2022,"12,650","7,310","28,950","32,000","21,450","40,300","16,500","24,200","44,500","21,700"
11/03/2022,"13,550","7,850","30,450","33,800","23,050","43,300","17,700","26,000","45,000","23,300"
11/02/2022,"13,700","8,050","30,100","32,200","23,000","44,000","17,900","25,950","44,900","23,200"
11/01/2022,"14,400","8,130","29,300","30,150","22,800","45,400","17,450","25,950","45,000","22,600"
10/31/2022,"14,000","8,000","29,700","28,200","22,700","44,200","17,500","25,800","45,000","22,800"
10/28/2022,"13,500","8,230","29,100","28,200","23,000","44,000","17,800","25,700","44,900","23,000"
10/27/2022,"12,850","8,070","27,200","27,900","23,000","44,500","17,500","24,050","44,000","23,250"
10/26/2022,"12,050","7,550","25,450","26,100","21,700","42,300","17,300","22,500","43,500","22,000"
10/25/2022,"12,950","8,050","27,350","27,850","21,000","42,100","18,600","24,150","44,600","21,500"
10/24/2022,"13,900","8,420","29,200","29,900","22,200","41,200","19,950","25,950","44,600","22,900"
10/21/2022,"14,900","9,050","31,350","32,100","23,850","43,500","21,450","27,900","47,950","24,600"
10/20/2022,"16,000","9,710","33,700","34,500","25,500","46,800","23,050","30,000","50,000","26,300"
10/19/2022,"16,650","9,860","35,550","36,000","25,850","48,700","23,050","31,250","50,000","26,700"
10/18/2022,"16,800","9,910","35,550","37,100","26,300","49,500","23,300","32,050","50,500","26,900"
10/17/2022,"15,800","9,640","36,000","36,650","25,600","48,500","22,600","32,000","49,500","26,450"
10/14/2022,"16,500","9,720","35,450","36,550","26,500","47,500","22,650","32,400","51,900","26,800"
10/13/2022,"16,350","9,720","35,000","34,200","26,500","45,700","22,800","31,350","52,800","26,100"
10/12/2022,"16,100","9,760","34,000","36,400","26,100","45,000","23,250","30,800","52,500","25,150"
10/11/2022,"15,400","9,300","31,800","39,100","24,400","43,100","21,750","29,550","51,800","23,550"
10/10/2022,"16,550","10,000","34,150","42,000","25,900","45,800","23,350","31,750","53,900","25,300"
10/07/2022,"16,350","9,560","32,650","42,500","25,000","43,200","23,400","29,700","53,800","24,850"
10/06/2022,"17,550","10,250","35,100","40,950","26,250","46,300","25,150","31,900","53,600","26,650"
10/05/2022,"18,850","11,000","37,700","42,700","27,500","48,000","27,000","34,300","53,800","28,650"
10/04/2022,"17,650","10,700","35,700","39,950","26,150","45,700","26,000","32,100","50,600","27,250"
10/03/2022,"18,900","10,800","37,900","38,600","26,100","45,000","27,000","34,450","50,400","28,200"
09/30/2022,"20,300","11,300","40,700","40,450","28,050","49,700","29,000","37,000","50,700","30,300"
09/29/2022,"20,000","10,850","40,000","37,850","28,950","49,500","27,550","36,500","50,800","31,200"
09/28/2022,"21,500","11,650","41,800","40,650","29,400","49,500","28,000","38,700","51,200","31,450"
09/27/2022,"21,500","12,100","41,800","38,000","29,400","51,600","27,500","39,600","54,100","31,750"
09/26/2022,"23,100","11,450","42,250","39,450","29,600","51,500","27,850","40,250","55,900","33,050"
09/23/2022,"24,800","11,000","45,400","42,400","31,300","52,900","29,600","43,250","57,200","35,500"
09/22/2022,"25,800","11,150","44,450","44,000","31,450","53,000","29,700","44,400","57,700","36,000"
09/21/2022,"24,900","10,750","45,000","43,550","31,450","53,100","29,100","44,950","58,300","36,550"
09/20/2022,"24,950","10,450","46,000","43,850","33,400","53,000","29,000","45,000","58,900","37,100"
09/19/2022,"24,100","10,000","45,700","43,850","33,650","51,900","27,900","45,600","58,400","36,400"
09/16/2022,"24,600","10,600","49,100","47,100","33,900","57,600","30,000","49,000","59,600","38,500"
09/15/2022,"25,700","10,950","51,600","50,000","35,500","59,400","30,700","51,500","60,500","39,800"
09/14/2022,"26,000","10,950","52,000","50,100","35,700","57,400","30,300","50,800","60,000","40,000"
09/13/2022,"24,650","11,100","52,500","49,650","35,800","58,000","30,600","50,200","60,700","40,000"
09/12/2022,"24,650","11,100","52,500","49,500","35,800","58,700","31,250","51,200","61,400","40,000"
09/09/2022,"25,200","11,100","52,500","50,900","35,500","58,800","31,600","51,000","59,900","40,200"
09/08/2022,"24,400","11,200","50,300","48,400","35,500","57,200","30,000","49,400","59,600","40,000"
09/07/2022,"24,650","11,500","51,300","52,000","35,300","57,100","31,550","50,300","59,500","39,500"
09/06/2022,"26,500","11,950","54,000","55,900","36,200","61,000","33,900","48,450","61,100","42,000"
09/05/2022,"25,900","12,000","54,000","56,000","36,800","61,600","34,350","47,100","61,000","42,150"
08/31/2022,"26,500","12,100","54,500","54,500","37,000","62,300","34,700","46,250","61,000","41,850"
08/30/2022,"26,000","11,900","53,700","54,700","37,700","62,000","34,650","46,000","59,900","43,050"
08/29/2022,"27,200","12,100","53,900","54,700","37,600","64,400","35,600","46,200","59,700","43,800"
08/26/2022,"28,000","12,500","54,900","53,200","38,350","65,800","37,000","47,300","60,300","44,350"
08/25/2022,"28,150","12,450","55,800","53,900","38,200","66,300","37,800","47,300","61,000","43,500"
08/24/2022,"28,350","12,100","55,500","54,000","37,750","67,500","37,250","46,800","59,700","43,100"
08/23/2022,"28,600","12,050","54,200","54,700","37,700","64,200","36,950","46,900","59,500","43,650"
08/22/2022,"28,000","11,650","53,200","53,800","37,700","63,700","36,500","45,150","59,400","42,550"
08/19/2022,"29,000","11,950","53,000","53,200","38,700","62,500","35,950","47,000","60,100","41,300"
08/18/2022,"28,650","12,150","53,500","52,100","39,300","64,500","36,300","47,000","61,100","42,700"
08/17/2022,"28,700","12,350","53,900","52,300","39,300","65,000","37,100","48,150","61,300","43,800"
08/16/2022,"27,900","12,400","54,000","48,900","38,850","64,700","38,250","48,000","61,300","42,800"
08/15/2022,"28,000","12,450","54,500","48,700","38,800","65,100","38,300","47,850","61,500","43,200"
08/12/2022,"28,000","12,350","51,800","47,300","38,800","65,000","38,400","46,900","61,200","42,400"
08/11/2022,"27,800","12,250","50,500","47,200","39,000","62,200","37,500","46,700","61,400","42,500"
08/10/2022,"28,000","12,600","52,300","49,200","38,750","63,400","37,800","48,800","61,300","43,000"
08/09/2022,"27,000","12,550","51,600","48,600","38,350","62,100","37,900","48,500","60,900","43,250"
08/08/2022,"26,800","12,300","52,900","48,400","38,600","62,000","37,900","48,750","61,500","42,150"
08/05/2022,"27,350","12,450","51,700","49,150","38,700","64,300","38,500","48,050","61,800","41,800"
08/04/2022,"26,700","12,450","51,200","47,600","39,000","64,400","37,800","48,000","63,000","41,250"
08/03/2022,"27,000","12,300","53,000","48,300","38,950","63,600","38,600","46,400","61,900","41,350"
08/02/2022,"26,250","12,300","51,900","46,800","38,900","61,500","38,800","45,000","62,500","40,950"
08/01/2022,"26,300","12,250","51,900","46,850","38,500","62,300","39,550","45,500","60,000","41,250"
07/29/2022,"24,800","11,800","52,900","46,500","37,500","61,700","37,700","44,250","59,900","39,150"
07/28/2022,"24,550","11,800","51,800","46,300","38,000","62,300","37,800","43,350","58,800","39,050"
07/27/2022,"23,900","11,550","49,200","45,500","37,300","59,000","36,300","42,000","58,600","38,200"
07/26/2022,"22,500","11,350","48,600","42,750","37,050","58,600","36,000","40,500","58,700","37,000"
07/25/2022,"21,900","11,350","48,600","42,800","36,300","60,100","36,200","40,550","58,900","37,100"
07/22/2022,"22,000","11,500","47,300","43,100","36,500","61,000","36,850","42,000","58,700","37,650"
07/21/2022,"22,300","11,900","47,000","43,650","36,950","58,700","36,850","43,250","58,900","38,200"
07/20/2022,"21,700","12,150","47,200","44,150","36,700","58,600","37,000","40,550","59,700","37,800"
07/19/2022,"20,900","11,700","46,300","41,300","36,000","59,700","36,550","40,100","58,800","37,000"
07/18/2022,"21,400","11,750","44,450","40,850","36,200","58,600","35,600","41,400","59,000","37,750"
07/15/2022,"21,950","11,850","44,850","41,800","36,350","56,700","35,550","40,500","60,000","38,150"
07/14/2022,"21,750","11,550","44,800","41,500","36,800","58,200","35,950","40,900","60,100","38,000"
07/13/2022,"21,350","11,350","44,350","41,550","35,350","56,500","35,950","40,500","60,100","37,000"
07/12/2022,"21,850","11,600","45,400","40,750","35,600","56,800","35,500","41,300","60,200","37,600"
07/11/2022,"20,900","11,150","43,050","38,100","35,000","54,500","33,200","38,900","60,500","36,200"
07/08/2022,"21,250","11,200","43,600","36,800","36,050","51,900","32,100","39,250","61,000","36,550"
07/07/2022,"19,900","10,500","43,750","34,400","35,600","48,400","31,700","36,700","61,000","35,500"
07/06/2022,"19,550","10,350","41,400","34,200","35,050","48,700","31,500","39,200","59,100","35,000"
07/05/2022,"20,000","10,600","51,000","35,450","35,200","49,700","31,800","42,150","60,500","35,450"
07/04/2022,"20,200","11,050","51,100","36,700","35,800","50,300","32,500","45,300","61,000","35,500"
07/01/2022,"19,700","10,950","54,900","37,300","38,850","49,500","32,550","45,300","61,400","36,050"
06/30/2022,"19,500","10,700","56,500","37,000","38,900","50,300","32,700","48,700","62,100","35,800"
06/29/2022,"20,400","11,200","57,000","38,350","39,300","51,500","33,200","50,000","63,300","37,350"
06/28/2022,"21,250","11,500","57,000","37,800","39,250","51,000","32,450","52,400","63,800","36,800"
06/27/2022,"21,000","11,250","54,700","37,500","39,050","48,900","32,000","49,000","63,500","36,000"
06/24/2022,"20,500","10,550","54,800","36,350","38,450","51,000","30,100","48,700","63,200","36,000"
06/23/2022,"20,200","10,700","55,100","34,000","38,100","51,700","29,700","50,000","63,200","36,300"
06/22/2022,"18,900","10,550","52,000","31,800","38,500","48,000","28,500","48,000","64,800","34,800"
06/21/2022,"18,450","9,900","51,900","29,750","38,650","46,700","28,600","45,800","65,000","34,000"
06/20/2022,"18,150","9,910","55,700","39,950","38,550","46,500","39,100","48,850","65,000","34,700"
06/17/2022,"19,500","10,650","58,500","42,950","39,000","50,000","42,000","52,500","66,000","37,300"
06/16/2022,"20,100","11,400","55,600","46,150","39,100","51,900","42,700","53,400","66,000","39,000"
06/15/2022,"20,950","11,500","52,000","49,600","38,100","50,000","42,900","53,700","65,900","38,550"
06/14/2022,"22,500","12,150","53,500","53,300","39,000","52,000","43,000","53,100","66,000","40,100"
06/13/2022,"22,200","12,400","51,500","55,200","39,900","50,900","42,350","53,100","66,000","39,900"
06/10/2022,"23,850","13,300","52,400","59,300","40,950","54,500","45,500","57,000","68,300","42,900"
06/09/2022,"24,750","13,500","55,000","61,000","41,050","56,400","44,800","59,800","68,300","44,100"
06/08/2022,"23,150","13,200","55,000","60,100","41,300","53,100","44,800","58,800","68,500","44,050"
06/07/2022,"21,650","12,700","53,600","56,200","40,400","51,000","43,000","55,000","68,500","41,200"
06/06/2022,"23,250","12,600","50,100","57,000","40,650","50,100","43,750","55,000","69,300","43,100"
06/03/2022,"25,000","12,950","48,450","60,200","40,800","52,700","44,600","56,500","69,400","44,150"
06/02/2022,"25,850","13,100","48,900","59,500","41,000","53,500","44,400","56,800","69,500","45,000"
06/01/2022,"27,000","13,650","50,500","61,000","42,000","54,200","44,500","57,000","70,300","46,450"
05/31/2022,"27,650","13,650","51,400","61,000","42,050","54,400","44,500","55,900","69,600","47,750"
05/30/2022,"28,200","13,900","50,500","62,500","42,400","53,000","44,200","57,500","70,500","47,800"
05/27/2022,"27,300","13,950","50,500","62,500","42,550","51,800","44,300","57,000","69,700","47,800"
05/26/2022,"27,200","13,900","50,500","62,300","41,450","52,100","43,950","54,800","68,700","47,250"
05/25/2022,"27,550","13,550","48,450","60,900","40,900","53,000","43,800","54,500","67,900","47,000"
05/24/2022,"26,500","12,700","46,200","58,000","40,100","51,500","41,800","52,400","66,900","46,000"
05/23/2022,"25,300","12,650","46,000","54,700","40,900","49,000","41,000","50,900","66,700","45,500"
05/20/2022,"26,950","13,300","46,600","58,800","41,400","51,300","41,000","51,800","66,800","46,900"
05/19/2022,"25,500","12,950","45,950","56,100","41,500","50,000","41,000","50,300","67,000","46,800"
05/18/2022,"26,700","13,050","43,350","55,600","41,500","49,400","40,000","50,800","66,900","46,500"
05/17/2022,"26,200","12,750","40,550","53,700","41,700","48,300","38,500","49,600","66,900","47,000"
05/16/2022,"25,000","11,950","37,900","50,200","39,300","44,400","36,250","46,400","65,800","44,700"
05/13/2022,"26,850","12,050","40,700","50,100","39,300","44,400","36,300","47,200","68,000","43,800"
05/12/2022,"28,850","12,950","43,750","53,800","42,250","49,900","39,000","50,700","68,900","46,500"
05/11/2022,"31,000","13,900","47,000","57,800","43,600","51,500","41,200","54,500","70,500","49,600"
05/10/2022,"30,400","13,750","46,100","54,100","43,400","50,100","40,150","54,000","69,900","48,800"
05/09/2022,"30,300","13,800","47,450","58,100","42,900","47,700","40,000","51,200","68,000","46,050"
05/06/2022,"32,550","14,800","51,000","62,400","46,100","52,900","41,100","55,000","68,700","49,500"
05/05/2022,"35,000","15,450","54,800","67,000","46,100","57,200","42,800","59,000","68,800","48,050"
05/04/2022,"34,700","15,600","54,500","70,800","46,500","56,100","43,000","59,500","64,500","47,850"
04/29/2022,"36,600","16,100","57,600","73,800","47,900","55,400","43,800","61,500","65,000","47,200"
04/28/2022,"35,700","15,700","57,200","70,100","47,000","54,900","43,000","57,800","64,500","46,050"
04/27/2022,"36,000","15,900","56,000","74,000","47,000","55,500","42,900","57,700","65,000","46,300"
04/26/2022,"34,700","15,550","53,600","69,500","46,950","50,500","41,650","54,000","65,000","45,100"
04/25/2022,"33,450","14,750","56,400","65,000","46,000","53,600","40,000","50,700","63,000","42,150"
04/22/2022,"34,650","15,850","60,600","69,800","49,000","59,500","42,500","54,500","64,700","45,300"
04/21/2022,"32,400","15,400","61,900","75,000","48,000","58,300","41,850","54,000","64,000","46,050"
04/20/2022,"33,500","15,600","62,000","80,600","49,900","59,400","45,000","55,400","66,800","49,500"
04/19/2022,"35,800","15,650","66,600","86,500","50,100","60,800","45,600","59,500","68,900","50,600"
04/18/2022,"38,300","16,800","67,000","86,900","49,300","61,500","47,500","63,900","69,800","50,800"
04/15/2022,"37,500","18,050","67,800","91,200","49,500","61,500","50,600","68,700","71,100","51,600"
04/14/2022,"39,750","18,700","66,500","94,100","50,100","66,900","50,900","68,600","72,300","52,800"
04/13/2022,"39,800","18,900","67,200","95,100","50,600","68,700","51,400","71,800","73,100","53,700"
04/12/2022,"37,200","18,800","65,000","94,200","50,100","65,100","48,900","67,500","73,000","51,300"
04/08/2022,"40,000","19,000","66,600","101,200","50,900","64,900","48,500","72,500","75,100","53,800"
04/07/2022,"41,500","19,800","68,000","102,900","51,100","72,100","52,100","72,800","75,000","53,800"
04/06/2022,"43,300","20,200","69,800","103,000","51,000","72,000","53,800","77,500","76,300","55,200"
04/05/2022,"43,900","20,350","70,200","105,000","52,000","78,700","54,000","76,700","76,400","56,000"
04/04/2022,"43,600","20,600","71,500","103,500","52,800","81,100","55,000","76,900","76,300","56,000"
04/01/2022,"46,500","20,700","71,600","102,000","53,600","80,600","53,700","80,300","76,200","57,300"
03/31/2022,"46,600","20,200","70,000","103,000","52,800","80,100","53,100","79,000","75,800","56,400"
03/30/2022,"46,100","20,350","68,800","104,500","52,600","75,000","52,700","77,200","75,800","56,400"
